TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:03:53:843440,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/asound, type: <nil>, flags: 4143",0
04:03:53:844394,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/bus, type: <nil>, flags: 4143",0
04:03:53:845347,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/fs, type: <nil>, flags: 4143",0
04:03:53:846334,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/irq, type: <nil>, flags: 4143",0
04:03:53:847297,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/kallsyms, type: <nil>, flags: 4143",0
04:03:53:848336,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/kcore, type: <nil>, flags: 4143",0
04:03:53:849311,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/kmsg, type: <nil>, flags: 4143",0
04:03:53:850293,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/latency_stats, type: <nil>, flags: 4143",0
04:03:53:851226,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/mtrr, type: <nil>, flags: 4143",0
04:03:53:852166,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/scsi, type: <nil>, flags: 4143",0
04:03:53:853161,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/sys, type: <nil>, flags: 4143",0
04:03:53:854130,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/sysrq-trigger, type: <nil>, flags: 4143",0
04:03:53:855590,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/root, type: <nil>, flags: 4143",0
04:03:53:856543,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/credentials, type: <nil>, flags: 4143",0
04:03:53:857516,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/systemd/incoming, type: <nil>, flags: 4143",0
04:03:53:858478,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/user, type: <nil>, flags: 4143",0
04:03:53:859633,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/fs/pstore, type: <nil>, flags: 4143",0
04:03:53:859673,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/security, type: <nil>, flags: 4143",0
04:03:53:859690,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys, type: <nil>, flags: 4143",0
04:03:53:859707,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/fs/fuse/connections, type: <nil>, flags: 4143",0
04:03:53:859743,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/config, type: <nil>, flags: 4143",0
04:03:53:860760,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/fs/bpf, type: <nil>, flags: 4143",0
04:03:53:861782,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/fs/cgroup, type: <nil>, flags: 4143",0
04:03:53:862772,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/debug/tracing, type: <nil>, flags: 4143",0
04:03:53:862817,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/debug, type: <nil>, flags: 4143",0
04:03:53:863771,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/tracing, type: <nil>, flags: 4143",0
04:03:53:864754,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/usr, type: <nil>, flags: 4129",0
04:03:53:865714,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/usr/lib/modules, type: <nil>, flags: 4143",0
04:03:53:867140,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/home, type: <nil>, flags: 4143",0
04:03:53:868267,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc, type: <nil>, flags: 4142",0
04:03:53:869335,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/kallsyms, type: <nil>, flags: 4143",0
04:03:53:870311,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/kcore, type: <nil>, flags: 4143",0
04:03:53:871265,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/proc/kmsg, type: <nil>, flags: 4143",0
04:03:53:872240,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/root, type: <nil>, flags: 4143",0
04:03:53:873274,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/credentials, type: <nil>, flags: 4143",0
04:03:53:874236,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/user, type: <nil>, flags: 4143",0
04:03:53:875584,0,vsftpd,10206,10206,10206,setsid,,1
04:03:53:875608,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/fs/pstore, type: <nil>, flags: 4143",0
04:03:53:875655,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/security, type: <nil>, flags: 4143",0
04:03:53:875670,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys, type: <nil>, flags: 4143",0
04:03:53:875686,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/fs/fuse/connections, type: <nil>, flags: 4143",0
04:03:53:875703,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/sys/kernel/config, type: <nil>, flags: 4143",0
04:03:53:876803,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/usr/lib/modules, type: <nil>, flags: 4143",0
04:03:53:877058,0,vsftpd,10207,10207,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:53:877101,0,vsftpd,10207,10207,0,security_socket_connect,"sockfd: 4, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",1
04:03:53:877209,0,vsftpd,10207,10207,0,setgid,gid: 65534,1
04:03:53:877233,65534,vsftpd,10207,10207,0,setuid,uid: 65534,1
04:03:53:877330,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: /run/systemd/unit-root, path: /, type: <nil>, flags: 8192",0
04:03:53:877369,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /, type: <nil>, flags: 1064960",0
04:03:53:877408,0,(mandb),10205,10205,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/incoming, type: <nil>, flags: 524288",0
04:03:53:877656,0,(mandb),10205,10205,0,setresgid,"rgid: 12, egid: 12, sgid: 12",0
04:03:53:877801,6,(mandb),10205,10205,0,setresuid,"ruid: 6, euid: 6, suid: 6",0
04:03:53:879867,6,mandb,10205,10205,0,sched_process_exec,"cmdpath: /usr/bin/mandb, pathname: /usr/bin/mandb, dev: 8388611, inode: 1442512, ctime: 1721354246046097792, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/usr/bin/mandb --quiet], interp: /usr/bin/mandb, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: (mandb), env: <nil>",0
04:03:53:886194,6,mandb,10205,10205,0,security_socket_connect,"sockfd: 3, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",0
04:03:53:886242,6,mandb,10205,10205,0,security_socket_connect,"sockfd: 3, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/var/run/nscd/socket]",0
04:03:53:888229,6,mandb,10205,10205,0,chmod,"pathname: /var/cache/man/CACHEDIR.TAG, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
04:03:53:891586,6,mandb,10205,10205,0,chmod,"pathname: /var/cache/man/10205, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
04:03:54:086326,6,mandb,10205,10205,0,security_inode_unlink,"pathname: /var/cache/man/10205, inode: 2228693, dev: 8388611, ctime: 1741079033891125639",0
04:03:54:087236,6,mandb,10205,10205,0,chmod,"pathname: /var/cache/man/id/CACHEDIR.TAG, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
04:03:54:087778,6,mandb,10205,10205,0,chmod,"pathname: /var/cache/man/id/10205, mode: S_IRUSR|S_IWUSR|S_IRGRP|S_IROTH",0
