TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
05:06:34:512175,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:513129,0,50-motd-news,154577,154577,0,sched_process_exec,"cmdpath: /etc/update-motd.d/50-motd-news, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/bin/sh /etc/update-motd.d/50-motd-news], interp: /bin/sh, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: run-parts, env: <nil>",0
05:06:34:514341,0,85-fwupd,154578,154578,0,sched_process_exec,"cmdpath: /etc/update-motd.d/85-fwupd, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/bin/sh /etc/update-motd.d/85-fwupd], interp: /bin/sh, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: run-parts, env: <nil>",0
05:06:34:515179,0,cat,154579,154579,0,sched_process_exec,"cmdpath: /usr/bin/cat, pathname: /usr/bin/cat, dev: 8388611, inode: 1441941, ctime: 1721354245330223025, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [cat /run/motd.d/85-fwupd], interp: /usr/bin/cat, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: 85-fwupd, env: <nil>",0
05:06:34:516131,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
05:06:34:516378,0,90-updates-avai,154580,154580,0,sched_process_exec,"cmdpath: /etc/update-motd.d/90-updates-available, pathname: /usr/bin/dash, dev: 8388611, inode: 1441994, ctime: 1721354245362217420, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [/bin/sh /etc/update-motd.d/90-updates-available], interp: /bin/sh, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: run-parts, env: <nil>",0
05:06:34:517106,0,cat,154581,154581,0,sched_process_exec,"cmdpath: /usr/bin/cat, pathname: /usr/bin/cat, dev: 8388611, inode: 1441941, ctime: 1721354245330223025, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [cat /var/lib/update-notifier/updates-available], interp: /usr/bin/cat, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: 90-updates-avai, env: <nil>",0
05:06:34:518106,0,find,154582,154582,0,sched_process_exec,"cmdpath: /usr/bin/find, pathname: /usr/bin/find, dev: 8388611, inode: 1442112, ctime: 1721354245450202008, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [find /var/lib/update-notifier/updates-available -newermt now-7 days], interp: /usr/bin/find, stdin_type: S_IFCHR, stdin_path: /dev/null, invoked_from_kernel: 0, prev_comm: 90-updates-avai, env: <nil>",0
05:06:34:518837,0,grep,154583,154583,0,sched_process_exec,"cmdpath: /usr/bin/grep, pathname: /usr/bin/grep, dev: 8388611, inode: 1442243, ctime: 1721354245730152969, inode_mode: 33261, interpreter_pathname: <nil>, interpreter_dev: <nil>, interpreter_inode: <nil>, interpreter_ctime: <nil>, argv: [grep -q -m 1 .], interp: /usr/bin/grep, stdin_type: S_IFIFO, stdin_path: , invoked_from_kernel: 0, prev_comm: 90-updates-avai, env: <nil>",0
05:06:34:519019,0,polkitd,901,901,0,security_socket_connect,"sockfd: 12, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/userdb/io.systemd.DynamicUser]",0
