TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:39:08:430429,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4002:1::198 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430457,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4002:1::197 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430483,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::98 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430509,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::97 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430535,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::96 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430561,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2001:67c:1562::24 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430587,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::22 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430612,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2001:67c:1562::23 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430638,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::23 sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:08:430663,0,NetworkManager,892,892,0,security_socket_connect,"sockfd: 28, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET6 sin6_addr:2620:2d:4000:1::2a sin6_flowinfo:0 sin6_port:80 sin6_scopeid:0]",0
04:39:11:183669,1000,DNS Res~er #115,3679,17649,0,security_socket_connect,"sockfd: 53, type: SOCK_DGRAM, remote_addr: map[sa_family:AF_INET sin_addr:8.8.8.8 sin_port:53]",0
04:39:11:183821,1000,DNS Res~er #115,3679,17649,0,net_packet_dns_request,"metadata: {192.168.29.168 8.8.8.8 48739 53 17 72 any}, dns_questions: [{ads.mozilla.org A IN}]",0
04:39:11:183996,1000,DNS Res~er #115,3679,17649,0,net_packet_dns_request,"metadata: {192.168.29.168 8.8.8.8 48739 53 17 72 any}, dns_questions: [{ads.mozilla.org AAAA IN}]",0
04:39:11:196067,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {8.8.8.8 192.168.29.168 53 48739 17 157 any}, dns_response: [{{ads.mozilla.org A IN} [{CNAME 32 mars.prod.ads.prod.webservices.mozgcp.net} {CNAME 115 prod.ads.prod.webservices.mozgcp.net} {A 116 34.117.188.166}]}]",0
04:39:11:196108,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {8.8.8.8 192.168.29.168 53 48739 17 234 any}, dns_response: [{{ads.mozilla.org AAAA IN} [{CNAME 179 mars.prod.ads.prod.webservices.mozgcp.net} {CNAME 290 prod.ads.prod.webservices.mozgcp.net}]}]",0
04:39:11:196119,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {8.8.8.8 192.168.29.168 53 48739 17 234 any}, dns_response: [{{ads.mozilla.org AAAA IN} [{CNAME 179 mars.prod.ads.prod.webservices.mozgcp.net} {CNAME 290 prod.ads.prod.webservices.mozgcp.net}]}]",0
04:39:11:196143,0,swapper/3,0,0,0,net_packet_dns_response,"metadata: {8.8.8.8 192.168.29.168 53 48739 17 157 any}, dns_response: [{{ads.mozilla.org A IN} [{CNAME 179 mars.prod.ads.prod.webservices.mozgcp.net} {CNAME 290 prod.ads.prod.webservices.mozgcp.net} {A 290 34.117.188.166}]}]",0
04:39:11:196594,1000,Socket Thread,3679,3795,0,security_socket_bind,"sockfd: 53, local_addr: map[sa_family:AF_INET sin_addr:0.0.0.0 sin_port:0]",0
04:39:11:207739,1000,firefox,3679,3679,115,memfd_create,"name: mozilla-ipc, flags: 11",0
04:39:11:285706,1000,Socket Thread,3679,3795,0,security_socket_connect,"sockfd: 115, type: SOCK_STREAM, remote_addr: map[sa_family:AF_INET sin_addr:34.117.188.166 sin_port:443]",0
04:39:11:644751,1000,firefox,3679,3679,123,memfd_create,"name: mozilla-ipc, flags: 11",0
04:39:13:218523,0,(ionclean),18094,18094,18094,setsid,,0
04:39:13:226053,0,(ionclean),18094,18094,0,security_socket_connect,"sockfd: 3, type: SOCK_STREAM, remote_addr: map[sa_family:AF_UNIX sun_path:/run/systemd/journal/stdout]",0
04:39:13:228555,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /, type: <nil>, flags: 540672",0
04:39:13:228612,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /, path: /run/systemd/unit-root, type: <nil>, flags: 20480",0
04:39:13:228905,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/unit-root/boot, path: /run/systemd/unit-root/boot, type: <nil>, flags: 20480",0
04:39:13:230205,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/home, type: <nil>, flags: 20480",0
04:39:13:230767,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/root, type: <nil>, flags: 20480",0
04:39:13:231963,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/run/credentials, type: <nil>, flags: 20480",0
04:39:13:232062,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/propagate/phpsessionclean.service, path: /run/systemd/unit-root/run/systemd/incoming, type: <nil>, flags: 4096",0
04:39:13:233864,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/inaccessible/dir, path: /run/systemd/unit-root/run/user, type: <nil>, flags: 20480",0
04:39:13:233978,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /tmp/systemd-private-9e6e279e2cd6463db6084d90bb9fe4e3-phpsessionclean.service-P1vnVa/tmp, path: /run/systemd/unit-root/tmp, type: <nil>, flags: 20480",0
04:39:13:234037,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/unit-root/usr, path: /run/systemd/unit-root/usr, type: <nil>, flags: 20480",0
